Camera Number,Date,Time,Species
KCH10,5/22/2021,9:37 PM,red deer
KCH10,5/22/2021,9:39 PM,red deer
KCH10,5/22/2021,9:40 PM,red deer
KCH10,5/22/2021,9:41 PM,red deer
KCH10,5/22/2021,9:43 PM,red deer
KCH10,5/22/2021,9:45 PM,red deer
KCH10,5/22/2021,9:47 PM,red deer
KCH10,5/22/2021,9:48 PM,red deer
KCH10,5/21/2021,1:39 AM,red deer
KCH10,5/21/2021,1:40 AM,red deer
KCH10,5/21/2021,1:41 AM,red deer
KCH10,5/21/2021,1:42 AM,red deer
KCH10,5/21/2021,1:43 AM,red deer
KCH10,5/21/2021,1:44 AM,red deer
KCH10,5/21/2021,1:45 AM,red deer
KCH10,5/21/2021,1:45 AM,red deer
KCH10,5/21/2021,1:46 AM,red deer
KCH10,5/21/2021,1:47 AM,red deer
KCH10,5/21/2021,1:47 AM,red deer
KCH10,5/21/2021,1:48 AM,red deer
KCH10,5/21/2021,1:49 AM,red deer
KCH10,5/21/2021,1:49 AM,red deer
KCH10,5/21/2021,1:50 AM,red deer
KCH10,5/21/2021,1:51 AM,red deer
KCH10,5/21/2021,1:52 AM,red deer
KCH10,5/21/2021,1:53 AM,red deer
KCH10,5/21/2021,1:56 AM,red deer
KCH10,5/21/2021,2:03 AM,red deer
KCH10,5/21/2021,2:04 AM,red deer
KCH10,5/21/2021,2:05 AM,red deer
KCH10,5/21/2021,2:06 AM,red deer
KCH10,5/21/2021,2:08 AM,red deer
KCH10,5/21/2021,2:09 AM,red deer
KCH10,5/21/2021,2:09 AM,red deer
KCH10,5/21/2021,2:10 AM,red deer
KCH10,5/21/2021,2:10 AM,red deer
KCH10,5/21/2021,2:11 AM,red deer
KCH10,5/21/2021,2:12 AM,red deer
KCH10,5/21/2021,2:13 AM,red deer
KCH10,5/21/2021,2:13 AM,red deer
KCH10,5/21/2021,2:14 AM,red deer
KCH10,5/21/2021,2:14 AM,red deer
KCH10,5/21/2021,2:15 AM,red deer
KCH10,5/21/2021,2:16 AM,red deer
KCH10,5/21/2021,2:16 AM,red deer
KCH10,5/19/2021,5:45 AM,roe deer
KCH10,5/19/2021,5:45 AM,roe deer
KCH10,5/19/2021,5:47 AM,roe deer
KCH10,5/19/2021,5:48 AM,roe deer
KCH10,5/19/2021,6:28 AM,roe deer
KCH10,5/19/2021,6:29 AM,roe deer
KCH10,5/19/2021,6:04 PM,roe deer
KCH10,5/19/2021,6:12 PM,roe deer
KCH10,5/19/2021,8:42 PM,roe deer
KCH10,5/19/2021,8:46 PM,roe deer
KCH10,5/19/2021,8:48 PM,roe deer
KCH10,5/19/2021,8:51 PM,roe deer
KCH10,5/19/2021,8:53 PM,roe deer
KCH10,5/19/2021,8:57 PM,roe deer
KCH10,10/8/2021,11:30 PM,moose
KCH10,5/21/2021,2:17 AM,red deer
KCH10,5/21/2021,2:18 AM,red deer
KCH10,5/21/2021,2:18 AM,red deer
KCH10,5/21/2021,2:19 AM,red deer
KCH10,5/21/2021,2:20 AM,red deer
KCH10,5/21/2021,2:21 AM,red deer
KCH10,10/8/2021,11:32 PM,moose
KCH10,5/21/2021,2:22 AM,red deer
KCH10,5/21/2021,2:36 AM,red deer
KCH10,5/21/2021,2:37 AM,red deer
KCH10,5/21/2021,2:38 AM,red deer
KCH10,5/21/2021,2:38 AM,red deer
KCH10,5/21/2021,2:40 AM,red deer
KCH10,10/8/2021,11:33 PM,moose
KCH10,5/19/2021,11:25 PM,roe deer
KCH10,5/20/2021,1:10 AM,roe deer
KCH10,5/20/2021,1:28 AM,roe deer
KCH10,5/20/2021,1:31 AM,roe deer
KCH10,5/20/2021,1:33 AM,roe deer
KCH10,5/20/2021,1:40 AM,roe deer
KCH10,5/21/2021,2:42 AM,red deer
KCH10,5/21/2021,2:42 AM,red deer
KCH10,5/21/2021,2:43 AM,red deer
KCH10,5/21/2021,2:44 AM,red deer
KCH10,5/21/2021,2:45 AM,red deer
KCH10,5/21/2021,3:19 AM,red deer
KCH10,5/21/2021,3:21 AM,red deer
KCH10,5/21/2021,3:21 AM,red deer
KCH10,5/21/2021,3:22 AM,red deer
KCH10,5/21/2021,3:22 AM,red deer
KCH10,5/21/2021,3:23 AM,red deer
KCH10,5/21/2021,3:24 AM,red deer
KCH10,5/21/2021,3:24 AM,red deer
KCH10,5/21/2021,3:25 AM,red deer
KCH10,5/21/2021,3:25 AM,red deer
KCH10,5/21/2021,3:26 AM,red deer
KCH10,5/21/2021,3:26 AM,red deer
KCH10,5/21/2021,3:27 AM,red deer
KCH10,5/21/2021,3:27 AM,red deer
KCH10,5/21/2021,3:28 AM,red deer
KCH10,5/21/2021,3:31 AM,red deer
KCH10,5/21/2021,3:31 AM,red deer
KCH10,5/21/2021,3:32 AM,red deer
KCH10,5/21/2021,3:32 AM,red deer
KCH10,5/21/2021,3:33 AM,red deer
KCH10,5/21/2021,3:34 AM,red deer
KCH10,5/21/2021,3:34 AM,red deer
KCH10,5/21/2021,3:35 AM,red deer
KCH10,5/21/2021,3:35 AM,red deer
KCH10,5/21/2021,3:36 AM,red deer
KCH10,5/21/2021,3:36 AM,red deer
KCH10,5/21/2021,3:37 AM,red deer
KCH10,5/21/2021,3:38 AM,red deer
KCH10,5/21/2021,3:38 AM,red deer
KCH10,5/21/2021,3:39 AM,red deer
KCH10,5/21/2021,3:40 AM,red deer
KCH10,5/21/2021,3:40 AM,red deer
KCH10,5/21/2021,3:42 AM,red deer
KCH10,5/21/2021,3:42 AM,red deer
KCH10,5/21/2021,3:43 AM,red deer
KCH10,5/21/2021,3:43 AM,red deer
KCH10,5/21/2021,3:44 AM,red deer
KCH10,5/21/2021,3:45 AM,red deer
KCH10,5/21/2021,3:45 AM,red deer
KCH10,5/21/2021,3:46 AM,red deer
KCH10,5/21/2021,3:47 AM,red deer
KCH10,5/21/2021,3:47 AM,red deer
KCH10,5/21/2021,3:48 AM,red deer
KCH10,5/21/2021,3:50 AM,red deer
KCH10,5/21/2021,3:50 AM,red deer
KCH10,5/21/2021,3:51 AM,red deer
KCH10,5/21/2021,3:52 AM,red deer
KCH10,5/21/2021,3:52 AM,red deer
KCH10,10/8/2021,11:36 PM,moose
KCH10,10/8/2021,11:37 PM,moose
KCH10,5/21/2021,3:53 AM,red deer
KCH10,10/8/2021,11:40 PM,moose
KCH10,5/21/2021,3:53 AM,red deer
KCH10,10/8/2021,11:44 PM,moose
KCH10,5/21/2021,3:54 AM,red deer
KCH10,5/21/2021,3:54 AM,red deer
KCH10,5/21/2021,3:55 AM,red deer
KCH10,10/8/2021,11:46 PM,moose
KCH10,10/8/2021,11:48 PM,moose
KCH10,10/8/2021,11:50 PM,moose
